,TradePrice
6569,3500000
5794,5000000
1605,7300000
4609,4500000
964,8000000
1503,7300000
7485,6200000
7977,6800000
1996,4300000
9385,6200000
7172,6900000
9914,5000000
6704,6000000
8475,8500000
5072,6000000
9285,3600000
6666,7300000
4911,7300000
4743,7000000
933,5000000
6190,5500000
2923,8400000
5782,6600000
2175,3500000
8129,7800000
9219,4800000
6647,3500000
4721,4000000
511,7000000
4512,8000000
3566,7500000
9855,6200000
1081,8600000
8186,5300000
9718,4200000
5120,7000000
8453,8900000
7681,6000000
4770,6300000
8365,8700000
6437,3600000
7760,3600000
2218,6500000
9117,6800000
3394,7500000
9050,7000000
6764,6000000
608,6100000
7505,6000000
8626,7500000
554,4200000
6325,4300000
5576,5300000
9695,5000000
7198,6500000
583,7800000
5945,7300000
5367,4000000
8268,6800000
4071,5600000
6885,8000000
2633,8000000
3266,4500000
9791,7400000
8761,4500000
9228,6800000
6344,5000000
3938,8000000
9062,6200000
7807,5800000
1954,7800000
4023,5300000
8796,5100000
3618,5000000
8183,5900000
2822,7200000
6552,8000000
7705,5300000
8750,8700000
1747,6200000
2339,3500000
6968,8500000
3557,7000000
7950,4000000
1500,5200000
4901,8000000
9532,5300000
72,7800000
8591,7300000
8675,5000000
1962,4800000
6821,3600000
2902,5200000
4716,4600000
4776,5500000
3181,6000000
4977,7300000
173,5000000
2645,8900000
8398,3800000
6343,5100000
527,4000000
184,5800000
4796,7600000
6429,8500000
1716,6000000
5743,4000000
8526,4300000
8063,6000000
9915,7400000
6063,5600000
3102,6100000
1096,4500000
9988,8000000
5103,3500000
2228,7800000
4261,5800000
3187,6800000
7544,5000000
5928,5000000
3642,4700000
4080,7800000
8172,5000000
3098,5000000
8307,5300000
1776,8000000
8061,4800000
4553,5500000
2202,4500000
7508,4000000
979,8500000
9206,4600000
3502,7300000
6297,7000000
4722,7000000
4816,6800000
6706,4500000
2729,8500000
6605,8100000
2866,6300000
8902,4500000
3295,5500000
6493,5500000
681,7500000
1963,3800000
3954,8800000
6086,8100000
5085,8500000
3498,5000000
8854,7400000
8120,4700000
539,7200000
2295,7800000
1755,6300000
1670,6700000
4598,7000000
303,6300000
8299,8900000
4484,3500000
6863,5000000
8442,6100000
2639,5000000
9809,4000000
9013,8900000
9786,8800000
3833,8000000
9409,3600000
2488,6500000
9908,6000000
5582,7500000
6308,7500000
5040,6600000
234,8500000
2893,8000000
6413,4700000
601,7200000
1310,8500000
7339,6500000
9494,8000000
4008,4000000
2549,6000000
7670,3800000
6671,8800000
9668,5900000
6789,4700000
7406,6700000
7814,5000000
7192,7000000
9099,3800000
8852,5600000
967,5000000
2094,6500000
682,7000000
2048,5000000
6192,8500000
6667,3800000
1553,5000000
7965,7600000
9022,7400000
4332,8500000
3932,3600000
3937,5300000
1326,5300000
293,3800000
1234,4000000
6421,6800000
9035,7000000
4224,6000000
6458,8000000
4695,5000000
5354,8000000
4582,7800000
9803,7000000
6810,7000000
5879,5500000
6481,5000000
7553,6500000
2291,7100000
8758,6000000
1929,5000000
4177,7100000
9496,3800000
3637,8500000
7496,7600000
3384,5000000
8383,5500000
7312,8000000
2167,7000000
2675,7200000
2947,7500000
4209,4500000
309,8300000
6540,5000000
7117,5000000
6964,5000000
4664,4000000
3606,4900000
4060,5600000
9493,8000000
3313,7800000
4169,8300000
85,4000000
119,6000000
9322,5000000
2101,4500000
4053,7300000
1526,5000000
7886,4200000
5253,6800000
65,7500000
4935,5000000
3996,6000000
5137,7000000
7259,8500000
5905,5600000
2907,8300000
6925,5500000
9133,7800000
7148,8500000
8789,7000000
4036,8400000
9756,5800000
8439,3500000
7427,6500000
5353,8000000
5413,8000000
5027,7400000
9706,3500000
8662,8300000
8560,4000000
5179,3500000
5990,7500000
1665,6300000
6715,7400000
442,8300000
9522,5000000
4336,3500000
7175,7800000
4666,4800000
884,8500000
3880,8000000
4086,3500000
5623,3800000
7189,6500000
8818,5200000
7289,8000000
7755,4200000
530,7000000
4589,4300000
5195,6000000
1752,5100000
6901,5400000
1674,5000000
1091,7000000
882,6000000
3611,8000000
1319,4500000
4777,4500000
4374,8800000
2995,6000000
5641,3500000
440,6500000
5956,5000000
7350,8500000
4791,6200000
5793,7300000
2452,3500000
1318,7000000
7610,5800000
3453,6100000
4024,6000000
9427,4100000
6867,8200000
7497,8800000
9564,4400000
8273,6600000
6898,6800000
8563,8800000
1393,7600000
2181,8000000
7593,8500000
9942,8700000
1478,5000000
8913,7200000
367,5000000
5881,5500000
8509,7300000
3229,4100000
8851,6200000
4100,8000000
2334,7500000
4823,6000000
6910,4300000
8465,8700000
4491,7000000
5335,6800000
6756,7300000
2459,8000000
1284,4500000
9612,5600000
6988,6500000
9283,5500000
1840,4100000
9733,5000000
961,6700000
5873,7500000
9488,7900000
4028,6500000
1778,7000000
9922,5000000
4960,5600000
1784,7000000
2144,3800000
2331,7000000
7911,6800000
9313,6300000
9325,3700000
8040,8800000
392,8000000
8190,6500000
5106,8000000
2418,3900000
2277,4800000
1185,8500000
7292,5500000
146,7000000
4178,8700000
2150,7600000
7951,4400000
2755,5800000
8972,6000000
8493,7000000
4989,4400000
325,5500000
1602,7500000
646,4900000
1135,3700000
8652,3500000
4259,8500000
388,6500000
8955,8400000
6277,6300000
7157,4000000
3525,4300000
1860,3500000
9963,3800000
992,5000000
9687,5300000
2357,5000000
3948,8000000
1237,4800000
775,6000000
4854,5600000
2746,4000000
9560,8300000
3251,5500000
7745,4000000
7205,8800000
1598,7200000
9698,8000000
221,6500000
9173,5100000
2890,8000000
6375,6600000
3753,8000000
7239,6600000
4980,5000000
3494,5000000
837,7200000
2929,7200000
1975,7000000
