,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
6747,4,3,2,0,1303,34,12,12.0,12.0,20,170,0,6,13.0,0,120.0,0,66,0,1,15,6,5,2,6.0,13,60.0,200.0,7,0
8034,4,3,4,0,1060,129,3,3.0,3.0,20,410,0,2,30.0,0,145.0,0,56,0,17,15,6,7,2,6.0,10,70.0,200.0,7,1
762,4,3,0,0,1348,27,20,20.0,20.0,20,155,0,6,12.0,0,95.0,0,70,0,1,15,2,2,2,7.0,1,60.0,200.0,11,0
1004,4,1,0,0,11,3,45,30.0,60.0,20,970,0,4,25.0,0,230.0,0,34,0,6,93,6,5,9,10.0,13,60.0,200.0,4,3
1448,4,0,0,0,294,142,25,25.0,25.0,20,990,0,1,31.0,0,390.0,0,39,0,6,93,1,8,7,15.0,2,60.0,200.0,11,3
6324,4,3,2,0,854,34,45,30.0,60.0,20,260,0,3,18.0,0,170.0,0,54,0,17,15,6,4,9,2.5,0,50.0,80.0,4,1
3511,4,3,0,0,103,27,23,23.0,23.0,20,210,0,1,8.0,0,230.0,0,55,0,17,15,6,3,2,27.0,2,60.0,200.0,7,3
183,4,3,0,0,952,3,45,30.0,60.0,20,165,0,3,10.0,0,100.0,0,70,0,17,15,6,6,2,6.5,0,50.0,80.0,9,3
399,4,3,0,0,704,142,45,30.0,60.0,20,790,0,3,36.5,0,700.0,0,45,0,17,61,1,4,8,6.5,0,50.0,80.0,10,0
773,4,0,0,0,1349,65,29,29.0,29.0,20,490,0,6,18.0,0,185.0,0,76,0,17,15,3,6,2,11.0,9,80.0,200.0,10,0
9381,4,1,9,0,138,136,45,30.0,60.0,20,2000,1,2,34.0,0,360.0,0,35,0,17,79,6,3,7,9.0,15,70.0,200.0,2,3
1575,4,3,0,0,341,142,29,29.0,29.0,20,310,0,3,20.0,0,370.0,0,55,0,17,61,6,3,2,8.0,13,60.0,200.0,8,2
1389,4,3,0,0,88,27,14,14.0,14.0,20,670,0,3,41.0,0,85.0,0,37,0,17,15,1,2,2,3.5,2,60.0,200.0,12,3
7092,4,0,6,0,303,71,22,22.0,22.0,20,440,0,2,16.0,0,320.0,0,37,0,17,47,2,8,2,30.0,9,80.0,200.0,13,1
1555,4,3,0,0,717,27,45,30.0,60.0,20,330,0,3,16.0,0,370.0,0,39,0,17,15,6,3,2,4.0,15,70.0,200.0,4,2
1567,4,3,0,0,341,142,45,30.0,60.0,20,390,0,6,15.5,0,530.0,0,50,0,6,61,1,4,2,6.5,13,60.0,200.0,11,3
1814,4,3,1,0,596,30,6,6.0,6.0,20,170,0,2,8.0,0,80.0,0,74,0,17,15,1,4,2,6.0,2,60.0,200.0,13,0
1297,4,3,0,0,100,27,13,13.0,13.0,20,200,0,3,16.5,0,155.0,0,49,0,20,15,1,6,2,6.5,0,50.0,80.0,11,2
9154,4,3,29,0,1361,119,45,30.0,60.0,20,360,0,3,15.0,0,165.0,0,53,0,17,15,1,0,11,6.5,2,60.0,200.0,13,2
3799,4,3,2,0,233,21,45,30.0,60.0,20,200,0,2,10.0,0,105.0,0,72,0,17,15,1,2,2,6.0,2,60.0,200.0,11,2
3801,4,1,2,0,233,21,45,30.0,60.0,20,2000,1,2,49.0,0,430.0,0,45,0,6,85,3,0,2,14.0,13,60.0,200.0,11,0
3365,4,1,0,0,1340,27,75,60.0,90.0,20,1400,0,6,47.5,0,700.0,0,28,0,6,85,6,5,2,16.0,13,60.0,200.0,2,3
4469,4,3,1,0,676,30,45,30.0,60.0,20,175,0,2,12.0,0,95.0,0,66,0,17,15,6,7,2,6.0,8,60.0,200.0,6,2
5100,4,3,2,0,389,34,45,30.0,60.0,20,330,0,2,12.0,0,105.0,0,31,0,17,15,1,5,2,5.0,4,60.0,200.0,13,0
8638,4,3,2,0,410,21,45,30.0,60.0,20,250,0,2,12.0,0,135.0,0,65,0,1,15,6,8,2,6.0,0,50.0,80.0,3,3
4339,4,3,0,0,294,3,45,30.0,60.0,20,175,0,3,7.0,0,165.0,0,54,0,17,15,6,4,2,7.0,4,60.0,200.0,2,2
6751,4,3,2,0,1089,21,45,30.0,60.0,20,250,0,3,10.2,0,105.0,0,33,0,17,15,6,8,2,3.0,15,60.0,200.0,6,0
1014,4,3,0,0,368,89,23,23.0,23.0,20,240,0,3,14.0,0,120.0,0,33,0,17,15,1,8,2,6.5,2,60.0,200.0,11,0
2467,4,3,0,0,175,65,3,3.0,3.0,20,220,0,2,11.5,0,90.0,0,51,0,17,15,6,4,2,7.0,2,60.0,200.0,6,2
2744,4,3,0,0,393,65,7,7.0,7.0,20,165,0,2,10.5,0,105.0,0,48,0,17,15,6,6,2,6.5,0,50.0,80.0,4,3
978,4,3,0,0,370,89,2,2.0,2.0,20,490,0,3,16.0,0,590.0,0,28,0,17,61,3,4,2,12.0,13,60.0,200.0,13,0
452,4,3,0,0,1272,142,1,1.0,1.0,20,300,0,2,27.5,0,240.0,0,48,0,17,15,1,7,2,5.5,4,60.0,200.0,13,1
1181,4,3,0,0,527,0,19,19.0,19.0,20,185,0,2,11.0,0,105.0,0,67,0,17,15,1,0,2,6.5,0,50.0,80.0,11,1
1090,4,3,0,0,356,3,45,30.0,60.0,20,220,0,3,13.0,0,150.0,0,53,0,17,61,1,6,2,5.5,0,40.0,80.0,9,2
