,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
440,4,3,0,0,281,65,13,13.0,13.0,20,260,0,3,17.5,0,95.0,0,25,0,17,15,1,6,2,6.5,2,60.0,200.0,8,3
5365,4,3,2,0,320,112,27,27.0,27.0,20,240,0,0,5.0,0,145.0,0,50,0,17,15,1,4,9,6.0,0,50.0,80.0,11,1
3640,4,3,0,0,103,27,25,25.0,25.0,20,105,0,2,7.2,0,115.0,0,29,0,17,15,6,2,2,11.0,1,60.0,200.0,5,3
8580,4,3,20,0,1224,24,18,18.0,18.0,20,540,0,3,26.0,0,150.0,0,45,0,17,15,3,4,11,7.5,10,70.0,200.0,10,0
2357,4,3,1,0,634,29,12,12.0,12.0,20,330,0,3,14.5,0,110.0,0,17,0,20,110,1,3,2,5.7,0,60.0,150.0,13,2
10035,4,3,38,0,473,23,75,60.0,90.0,20,280,0,6,17.5,0,100.0,0,44,0,17,15,6,2,11,9.0,0,50.0,80.0,3,0
6668,4,3,2,0,682,84,45,30.0,60.0,20,210,0,3,13.0,0,95.0,0,43,0,17,15,6,3,8,4.0,1,60.0,200.0,2,3
1183,4,3,0,0,527,0,10,10.0,10.0,20,260,0,2,17.0,0,145.0,0,35,0,17,15,1,4,2,5.5,0,50.0,80.0,10,1
1048,4,3,0,0,865,3,45,30.0,60.0,20,150,0,2,9.0,0,75.0,0,55,0,17,15,1,7,2,6.5,0,50.0,80.0,10,2
4784,4,3,1,0,991,31,26,26.0,26.0,20,300,0,3,19.0,0,145.0,0,29,0,17,15,6,4,2,6.0,0,50.0,80.0,5,2
3611,4,3,2,0,937,123,27,27.0,27.0,20,230,0,3,13.0,0,100.0,0,40,0,17,15,1,3,8,4.0,15,60.0,200.0,10,3
2721,4,3,0,0,995,121,14,14.0,14.0,20,85,0,2,7.5,0,60.0,0,31,0,17,15,6,2,8,6.0,1,60.0,200.0,1,2
9405,4,3,38,0,427,98,45,30.0,60.0,20,210,0,6,17.0,0,95.0,0,54,0,17,15,1,8,11,8.0,10,70.0,200.0,10,2
3692,4,3,1,0,589,11,45,30.0,60.0,20,1000,0,6,50.0,1,195.0,0,49,0,17,15,6,3,2,6.0,15,70.0,200.0,4,1
8104,4,3,4,0,32,20,16,16.0,16.0,20,160,0,3,10.0,0,85.0,0,29,0,17,15,6,6,2,6.0,4,60.0,200.0,2,2
9875,4,3,38,0,1308,47,75,60.0,90.0,20,330,0,2,19.5,0,130.0,0,55,0,17,15,6,4,11,6.0,1,60.0,200.0,5,1
4409,4,3,1,0,912,115,28,28.0,28.0,20,380,0,8,18.5,0,290.0,0,25,0,17,49,6,2,2,8.0,1,60.0,200.0,5,0
671,4,3,0,0,1279,3,25,25.0,25.0,20,180,0,3,11.0,0,150.0,0,35,0,17,15,1,8,2,7.0,1,60.0,200.0,13,2
10018,4,3,38,0,427,98,45,30.0,60.0,20,840,0,6,45.0,0,470.0,0,32,0,17,48,6,6,11,7.5,2,60.0,200.0,3,0
4609,4,3,2,0,1089,21,45,30.0,60.0,20,520,0,6,16.6,0,160.0,0,25,0,17,15,3,4,8,4.0,0,50.0,80.0,10,3
1967,4,3,0,0,737,6,29,29.0,29.0,20,165,0,5,12.0,0,150.0,0,38,0,17,15,6,3,8,4.0,15,70.0,200.0,6,3
9597,4,3,25,0,955,71,105,90.0,120.0,20,550,0,6,23.0,0,160.0,0,46,0,17,15,6,0,11,5.5,10,70.0,200.0,6,1
6897,4,3,3,0,18,66,14,14.0,14.0,20,510,0,3,16.5,0,460.0,0,28,0,18,93,6,7,2,6.0,1,60.0,200.0,4,0
8517,4,3,20,0,672,80,45,30.0,60.0,20,980,0,1,41.0,0,230.0,0,49,0,17,79,6,5,7,10.0,10,70.0,200.0,8,0
8475,4,3,19,0,1058,52,45,30.0,60.0,20,240,0,3,12.5,0,115.0,0,60,0,17,15,1,3,7,7.5,15,70.0,200.0,10,0
3131,4,3,1,0,789,30,19,19.0,19.0,20,450,0,3,12.0,0,180.0,0,37,0,17,15,3,0,2,5.0,1,60.0,200.0,12,1
9242,4,0,9,0,331,28,2,2.0,2.0,20,510,0,6,17.0,0,570.0,0,76,0,17,104,6,2,2,5.0,6,80.0,400.0,7,1
8128,4,3,9,0,331,28,8,8.0,8.0,20,130,0,6,11.0,0,70.0,0,64,0,17,15,1,4,2,8.0,2,60.0,200.0,9,1
5903,4,3,4,0,32,20,15,15.0,15.0,20,160,0,4,13.0,0,85.0,0,29,0,17,15,3,6,2,6.0,4,60.0,200.0,10,0
3088,4,3,0,0,100,27,5,5.0,5.0,20,140,0,6,11.5,0,115.0,0,38,0,17,15,6,6,2,9.0,2,60.0,200.0,4,0
8955,4,3,3,0,71,66,21,21.0,21.0,20,270,0,5,16.0,0,150.0,0,51,0,17,15,6,4,2,9.0,0,50.0,80.0,3,1
9335,4,3,37,0,948,113,2,2.0,2.0,20,250,0,1,27.0,0,75.0,0,24,0,17,15,1,0,11,4.0,13,60.0,200.0,12,3
3352,4,3,0,0,417,3,45,30.0,60.0,20,155,0,2,8.0,0,110.0,0,36,0,17,15,6,0,2,6.5,0,50.0,80.0,7,2
8101,4,3,2,0,682,34,45,30.0,60.0,20,360,0,2,17.5,0,105.0,0,26,0,17,15,6,4,2,5.0,15,60.0,200.0,3,2
219,4,3,0,0,1246,3,16,16.0,16.0,20,380,0,3,12.0,0,60.0,0,20,0,17,15,1,7,2,5.0,2,60.0,200.0,11,3
8014,4,3,4,0,571,20,45,30.0,60.0,20,180,0,2,10.0,0,95.0,0,45,0,17,15,6,2,2,6.0,10,70.0,200.0,6,1
8881,4,3,6,0,215,71,13,13.0,13.0,20,780,0,3,17.0,0,230.0,0,30,0,17,15,6,5,2,4.0,0,50.0,80.0,2,3
8855,4,0,7,0,1372,120,45,30.0,60.0,20,490,0,3,8.5,0,390.0,0,30,0,17,98,6,5,7,12.0,6,80.0,400.0,5,2
6421,4,3,1,0,1233,30,75,60.0,90.0,20,270,0,1,18.0,0,145.0,0,43,0,17,15,6,2,2,6.0,5,60.0,200.0,2,1
1753,4,3,0,0,18,3,25,25.0,25.0,20,240,0,2,23.5,0,270.0,0,35,0,17,61,6,5,8,6.5,2,60.0,200.0,1,2
8490,4,3,19,0,759,52,45,30.0,60.0,20,1600,0,1,32.0,0,220.0,0,33,0,17,15,1,5,7,8.5,15,70.0,200.0,12,0
7476,4,3,7,0,1273,104,75,60.0,90.0,20,310,0,8,20.0,0,140.0,0,43,0,17,15,1,6,2,6.0,1,60.0,200.0,8,2
6575,4,3,2,0,1186,34,14,14.0,14.0,20,250,0,2,17.0,0,120.0,0,25,0,17,15,6,4,2,6.0,4,60.0,200.0,2,3
9704,4,0,21,0,1173,80,6,6.0,6.0,20,320,0,2,10.0,0,300.0,0,76,0,17,47,6,6,2,9.0,9,80.0,200.0,2,1
8900,4,3,9,0,77,28,13,13.0,13.0,20,155,0,1,32.0,0,145.0,0,50,0,17,98,6,6,7,12.0,2,60.0,200.0,4,0
7512,4,1,3,0,1247,37,11,11.0,11.0,20,1100,0,1,16.0,0,640.0,0,29,0,7,0,6,5,7,8.5,8,60.0,200.0,6,2
9040,4,3,7,0,79,120,21,21.0,21.0,20,330,0,8,14.5,0,35.0,0,28,0,17,15,6,2,8,4.0,1,60.0,200.0,2,2
4685,4,3,0,0,737,94,45,30.0,60.0,20,180,0,3,9.5,0,65.0,0,19,0,17,15,6,4,2,6.0,15,70.0,200.0,3,1
997,4,3,0,0,370,89,16,16.0,16.0,20,260,0,3,14.5,0,210.0,0,32,0,17,43,1,8,2,7.0,1,60.0,200.0,9,0
886,4,3,0,0,1338,3,26,26.0,26.0,20,180,0,3,11.0,0,110.0,0,43,0,17,15,1,7,2,6.5,4,60.0,200.0,8,2
9172,4,3,7,0,299,104,45,30.0,60.0,20,370,0,2,15.0,0,195.0,0,50,0,17,15,6,3,2,6.0,10,70.0,200.0,2,1
7638,4,3,7,0,299,104,45,30.0,60.0,20,165,0,5,13.0,0,50.0,0,36,0,17,15,6,3,2,6.0,10,70.0,200.0,10,3
7456,4,3,7,0,272,120,24,24.0,24.0,20,220,0,4,12.0,0,115.0,0,40,0,17,15,1,7,9,6.0,2,60.0,200.0,11,2
9013,4,3,25,0,275,71,27,27.0,27.0,20,390,0,5,19.0,0,95.0,0,39,0,17,15,6,7,11,6.0,0,50.0,80.0,8,0
6752,4,3,1,0,603,38,2,2.0,2.0,20,360,0,3,20.0,0,125.0,0,52,0,17,15,6,7,9,6.0,15,70.0,200.0,3,0
1149,4,1,0,0,895,3,105,90.0,120.0,20,1500,0,3,47.0,0,35.0,0,37,0,6,93,6,4,2,16.0,13,60.0,200.0,8,0
4980,4,3,2,0,410,21,45,30.0,60.0,20,280,0,3,13.0,0,145.0,0,71,0,1,15,1,8,2,6.0,0,50.0,80.0,9,3
8801,4,3,7,0,301,120,45,30.0,60.0,20,240,0,2,13.5,0,130.0,0,42,0,17,45,6,5,2,6.0,10,70.0,200.0,6,2
8189,4,3,4,0,1187,129,4,4.0,4.0,20,145,0,6,12.0,0,150.0,0,31,0,17,15,6,7,2,4.0,10,70.0,200.0,2,1
3767,4,3,0,0,356,3,45,30.0,60.0,20,180,0,4,25.0,0,110.0,0,39,0,17,100,6,0,2,5.5,5,60.0,200.0,2,3
5602,4,3,1,0,787,30,45,30.0,60.0,20,130,0,2,7.5,0,90.0,0,34,0,17,15,6,2,2,6.0,0,60.0,150.0,6,2
1053,4,3,0,0,425,0,21,21.0,21.0,20,210,0,3,9.0,0,80.0,0,28,0,17,15,6,7,2,6.5,13,60.0,200.0,4,0
5995,4,3,2,0,150,21,3,3.0,3.0,20,85,0,3,8.5,0,130.0,0,45,0,17,98,6,3,7,14.0,6,80.0,400.0,7,3
4791,4,3,1,0,628,30,45,30.0,60.0,20,270,0,5,16.5,0,150.0,0,23,0,17,15,6,8,2,9.0,0,60.0,150.0,6,2
8899,4,3,7,0,1284,120,25,25.0,25.0,20,330,0,3,20.5,0,85.0,0,49,0,17,15,6,2,8,6.5,0,50.0,80.0,7,3
5896,4,3,0,0,367,58,24,24.0,24.0,20,1800,0,1,20.0,0,240.0,0,46,0,17,79,6,6,7,15.5,10,70.0,200.0,3,3
6666,4,3,2,0,682,84,45,30.0,60.0,20,150,0,8,16.0,0,105.0,0,47,0,17,15,6,5,2,6.0,2,60.0,200.0,2,3
