,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
3633,4,3,1,0,603,39,10,10.0,10.0,20,180,0,6,16.0,0,185.0,0,20,0,18,15,6,6,2,5.0,15,70.0,200.0,4,0
1026,4,3,0,0,368,89,16,16.0,16.0,20,830,0,3,17.0,0,40.0,0,5,0,20,110,3,4,2,5.0,2,60.0,200.0,9,0
7596,4,3,1,0,454,30,45,30.0,60.0,20,105,0,1,3.5,0,60.0,0,43,0,17,15,6,2,2,6.0,0,60.0,150.0,3,0
9843,4,3,14,0,506,1,45,30.0,60.0,20,290,0,2,9.0,0,110.0,0,28,0,17,15,6,6,6,9.5,2,60.0,200.0,3,0
5722,4,3,3,0,235,66,19,19.0,19.0,20,220,0,5,16.3,0,160.0,0,21,0,17,44,3,7,7,14.0,5,60.0,200.0,8,1
1377,4,3,0,0,89,3,9,9.0,9.0,20,180,0,3,11.5,0,210.0,0,76,0,20,110,3,4,2,5.0,5,60.0,200.0,9,0
8905,4,3,9,0,1334,28,45,30.0,60.0,20,350,0,1,13.0,0,155.0,0,31,0,1,93,6,3,2,6.0,15,70.0,200.0,4,3
534,4,3,0,0,995,121,45,30.0,60.0,20,200,0,3,15.0,0,105.0,0,29,0,17,15,1,2,9,3.5,0,50.0,80.0,8,3
3505,4,3,0,0,527,0,8,8.0,8.0,20,120,0,3,13.1,0,85.0,0,34,0,17,15,6,8,2,4.0,0,50.0,80.0,7,0
8143,4,3,10,0,442,62,45,30.0,60.0,20,470,0,8,6.5,0,75.0,0,20,0,17,15,3,2,11,6.0,10,70.0,200.0,11,1
6028,4,3,4,0,933,129,45,30.0,60.0,20,160,0,3,11.5,0,115.0,0,42,0,17,15,1,0,9,2.7,10,70.0,200.0,9,1
3402,4,3,0,0,1370,65,26,26.0,26.0,20,105,0,5,10.5,0,40.0,0,21,0,17,15,6,5,2,4.0,1,60.0,200.0,4,3
6926,4,3,2,0,1041,21,18,18.0,18.0,20,220,0,8,10.5,0,110.0,0,25,0,17,15,6,6,2,5.5,4,60.0,200.0,1,3
4328,4,3,2,0,1043,123,8,8.0,8.0,20,240,0,5,17.0,0,95.0,0,76,0,17,15,3,2,9,4.0,1,60.0,200.0,12,1
4752,4,3,1,0,434,30,75,60.0,90.0,20,290,0,6,13.5,0,125.0,0,38,0,17,15,6,5,7,7.5,15,70.0,200.0,2,0
8765,4,3,23,0,0,93,15,15.0,15.0,20,190,0,2,10.0,0,75.0,0,35,0,17,15,1,4,11,6.0,2,60.0,200.0,8,3
8073,4,3,4,0,42,20,16,16.0,16.0,20,175,0,3,13.0,0,125.0,0,34,0,17,15,6,3,2,3.0,1,50.0,200.0,5,0
7809,4,3,8,0,238,59,16,16.0,16.0,20,420,0,3,14.5,0,175.0,0,23,0,17,15,3,7,2,5.0,2,60.0,200.0,11,2
9528,4,3,23,0,0,93,5,5.0,5.0,20,280,0,5,16.0,0,125.0,0,27,0,17,15,6,3,9,4.0,2,60.0,200.0,6,2
710,4,3,0,0,1066,3,105,90.0,120.0,20,500,0,2,15.0,0,115.0,0,29,0,17,15,1,0,2,4.5,15,70.0,200.0,10,2
2903,4,3,1,0,534,30,45,30.0,60.0,20,100,0,1,17.2,0,85.0,0,35,0,17,15,1,4,9,4.0,0,50.0,80.0,10,1
6398,4,3,4,0,300,20,24,24.0,24.0,20,260,0,3,14.5,0,80.0,0,23,0,17,15,1,5,2,5.0,0,50.0,80.0,10,1
4690,4,3,1,0,997,30,105,90.0,120.0,20,300,0,2,20.5,0,150.0,0,13,0,17,94,6,5,7,6.5,15,70.0,200.0,7,1
3395,4,3,2,0,586,74,45,30.0,60.0,20,680,0,1,35.0,0,420.0,0,36,0,17,49,5,7,9,4.0,0,50.0,80.0,12,0
9552,4,3,21,0,1208,80,23,23.0,23.0,20,1500,0,6,33.0,0,165.0,0,76,0,17,15,6,0,7,7.0,10,70.0,200.0,7,1
8260,4,3,14,0,763,1,6,6.0,6.0,20,185,0,6,11.9,0,160.0,0,30,0,17,15,1,5,11,4.8,2,60.0,200.0,9,0
7560,4,3,7,0,74,120,9,9.0,9.0,20,220,0,2,8.0,0,70.0,0,46,0,17,15,6,4,9,5.5,9,80.0,200.0,10,2
1352,4,3,0,0,11,3,24,24.0,24.0,20,70,0,2,4.5,0,95.0,0,32,0,17,15,6,5,9,10.0,13,60.0,200.0,7,0
4594,4,3,2,0,1089,21,45,30.0,60.0,20,200,0,2,10.0,0,110.0,0,32,0,17,15,1,0,2,6.0,1,60.0,200.0,12,1
320,4,3,0,0,198,3,45,30.0,60.0,20,105,0,6,6.0,0,70.0,0,25,0,17,15,5,6,2,5.0,0,60.0,150.0,10,1
8856,4,3,7,0,1371,104,18,18.0,18.0,20,260,0,1,20.0,0,140.0,0,32,0,17,15,6,4,2,5.0,0,50.0,80.0,5,2
